Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
15774,013,IND(3),Permission,0 / 30,Jonathan Goodall
15775,014,IND(3),Permission,0 / 30,Kristen Naegle
15799,015,IND(3),Permission,0 / 30,Seongkook Heo
15879,016,IND(3),Permission,0 / 30,Madhav Marathe
16347,017,IND(3),Permission,0 / 30,Raymond Pettit
16351,018,IND(3),Permission,0 / 30,Hyojoon Kim
16376,019,IND(3),Permission,0 / 30,Matthew Dwyer
21338,020,IND(3),Permission,0 / 30,Henry Kautz
21778,021,IND(3),Permission,0 / 30,Shangtong Zhang
21795,022,IND(3),Permission,0 / 30,Yu Meng
21944,023,IND(3),Permission,0 / 30,Hadi Daneshmand
,14984,001,IND(1 - 6),Permission,0 / 20
14984,001,IND(1 - 6),Permission,0 / 20,Jack Davidson
14984,001,IND(1 - 6),Permission,0 / 20,Jack Davidson
15061,002,IND(1 - 6),Permission,2 / 30,David Evans
15360,003,IND(1 - 6),Permission,0 / 10,Mohammad Mahmoody
15526,004,IND(1 - 6),Permission,2 / 30,Lu Feng
16175,005,IND(1 - 6),Permission,0 / 30,Tariq Iqbal
15062,006,IND(1 - 6),Permission,1 / 30,Kevin Skadron
16163,007,IND(1 - 6),Permission,2 / 30,Tianhao Wang
16157,008,IND(1 - 6),Permission,0 / 30,Miaomiao Zhang
15538,009,IND(1 - 6),Permission,1 / 30,Madhur Behl
15281,010,IND(1 - 6),Permission,0 / 30,Tom Horton
16149,011,IND(1 - 6),Permission,0 / 30,Sebastian Elbaum
15282,012,IND(1 - 6),Permission,0 / 30,Mark Sherriff
15283,013,IND(1 - 6),Permission,0 / 30,Aaron Bloomfield
16184,014,IND(1 - 6),Permission,2 / 30,Haiying Shen
15361,015,IND(1 - 6),Permission,1 / 10,Yanjun Qi
16473,016,IND(1 - 6),Permission,0 / 30,Raymond Pettit
15539,017,IND(1 - 6),Permission,0 / 30,Brad Campbell
16140,018,IND(1 - 6),Permission,0 / 30,Matthew Dwyer
15690,019,IND(1 - 6),Permission,0 / 30,Aidong Zhang
15370,020,IND(1 - 6),Permission,0 / 5,Nada Basit
16465,021,IND(1 - 6),Permission,0 / 30,Tom Fletcher
15372,022,IND(1 - 6),Permission,0 / 5,Mark Floryan
15699,023,IND(1 - 6),Permission,0 / 30,Rich Nguyen
16180,024,IND(1 - 6),Permission,1 / 30,Wajih Ul Hassan
16038,025,IND(1 - 6),Permission,2 / 30,Yangfeng Ji
15459,026,IND(1 - 6),Permission,0 / 30,Samira Khan
15714,027,IND(1 - 6),Permission,0 / 30,Robbie Hott
15474,028,IND(1 - 6),Permission,0 / 30,Charles Reiss
16515,029,IND(1 - 6),Permission,0 / 30,Kun Qian
16028,030,IND(1 - 6),Permission,1 / 30,Yixin Sun
15975,031,IND(1 - 6),Permission,3 / 30,Felix Lin
15840,032,IND(1 - 6),Permission,1 / 30,Ashish Venkat
15842,033,IND(1 - 6),Permission,1 / 30,Seongkook Heo
