ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
12237,GBUS,7235,001,Lecture,"1.5","M. Kose","Mo 6:00pm - 9:10pm","Sands Captl Mgmt Bldg Rm 3110","Global Economies and Markets - Part I","",Open,66,90,0
10004,GBUS,7256,001,Lecture,"1.5","Michael Ho","Su 9:55am - 11:10am","Sands Captl Mgmt Bldg Rm 3140","Financial Management and Policies - Part II","",Open,61,72,0
10005,GBUS,7256,002,Lecture,"1.5","Michael Ho","Su 8:20am - 9:35am","Sands Captl Mgmt Bldg Rm 3110","Financial Management and Policies - Part II","",Open,71,90,0
10021,GBUS,7295,001,Lecture,"1.5","Luca Cian","Sa 9:55am - 12:45pm","Sands Captl Mgmt Bldg Rm 3140","Marketing Part I","",Open,61,72,0
10020,GBUS,7295,002,Lecture,"1.5","Luca Cian","Sa 2:00pm - 4:50pm","Sands Captl Mgmt Bldg Rm 3110","Marketing Part I","",Closed,72,72,0
12241,GBUS,7295,003,Lecture,"1.5","Ronald Wilcox","Th 6:00pm - 9:10pm","Sands Captl Mgmt Bldg Rm 3110","Marketing Part I","",Open,66,90,0
12235,GBUS,7296,1,Lecture,"1.5","Luca Cian","Su 9:55am - 11:10am","Sands Captl Mgmt Bldg Rm 3110","Marketing - Part II","",Open,71,72,0
12236,GBUS,7296,002,Lecture,"1.5","Luca Cian","Su 8:20am - 9:35am","Sands Captl Mgmt Bldg Rm 3140","Marketing - Part II","",Open,61,72,0
10001,GBUS,7316,001,Lecture,"1.5","Doug Thomas","Su 12:10pm - 3:00pm","Sands Captl Mgmt Bldg Rm 3140","Operations Management - Part II","",Open,61,72,0
10019,GBUS,7316,002,Lecture,"1.5","Doug Thomas","Su 8:20am - 11:10am","Sands Captl Mgmt Bldg Rm 3110","Operations Management - Part II","",Open,72,90,0
