Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
Fall 202421466,036,IND(3 Units),Permission,1 / 30,Zezhou Cheng
,Fall 202419760,001,Lecture(3 Units),Closed,68 / 65
Fall 202419760,001,Lecture(3 Units),Closed,68 / 65,Mai Dahshan
Fall 202419760,001,Lecture(3 Units),Closed,68 / 65,Mai Dahshan
Fall 202421050,002,Lecture(3 Units),Open,39 / 40,Yuri Malitsky
,Fall 202415649,001,Lecture(1 - 3 Units),Open,108 / 140
Fall 202415649,001,Lecture(1 - 3 Units),Open,108 / 140,Sandhya Dwarkadas
Fall 202415649,001,Lecture(1 - 3 Units),Open,108 / 140,Sandhya Dwarkadas
,Fall 202417095,001,Lecture(3 Units),Open,17 / 38
Fall 202417095,001,Lecture(3 Units),Open,17 / 38,Wei-Kai Lin
Fall 202417095,001,Lecture(3 Units),Open,17 / 38,Wei-Kai Lin
,Fall 202416988,001,Lecture(3 Units),Open,65 / 75
Fall 202416988,001,Lecture(3 Units),Open,65 / 75,Aidong Zhang
Fall 202416988,001,Lecture(3 Units),Open,65 / 75,Aidong Zhang
,Fall 202417053,001,Lecture(3 Units),Closed,30 / 30
Fall 202417053,001,Lecture(3 Units),Closed,30 / 30,Adwait Jog
Fall 202417053,001,Lecture(3 Units),Closed,30 / 30,Adwait Jog
,Website17011,001,Lecture(3 Units),Open,8 / 14(19 / 35)
Website17011,001,Lecture(3 Units),Open,8 / 14(19 / 35),Homa Alemzadeh
Website17011,001,Lecture(3 Units),Open,8 / 14(19 / 35),Homa Alemzadeh
,,Human-Computer Interaction,Website16362,001,Lecture(3 Units)
,Human-Computer Interaction,Website16362,001,Lecture(3 Units),Open
Website16362,001,Lecture(3 Units),Open,71 / 76,Seongkook Heo
Website19576,002,Lecture(3 Units),Open,5 / 35,Kun Qian
Fall 202416721,003,Lecture(3 Units),Closed,17 / 17(30 / 38),Brad Campbell+1
Fall 202419577,004,Lecture(3 Units),Open,25 / 32,Chen Chen
Fall 202416996,005,Lecture(3 Units),Closed,15 / 14(46 / 70),Miaomiao Zhang
Website16941,006,Lecture(3 Units),Permission,11 / 35,David Evans
Fall 202416942,007,Lecture(3 Units),Open,31 / 35,Yen-Ling Kuo
Fall 202419578,008,Lecture(3 Units),Open,33 / 35,Zezhou Cheng
Fall 202416987,009,Lecture(3 Units),Open,9 / 15(15 / 45),Jundong Li
Website16577,010,Lecture(3 Units),Open,17 / 20(33 / 40),Nicola Bezzo
Website16943,011,Lecture(3 Units),Open,76 / 80,Yangfeng Ji
Website17097,012,Lecture(3 Units),Open,16 / 35,Chang Lou
Website16608,013,Lecture(3 Units),Open,20 / 35(30 / 48),Tom Fletcher
Website16687,014,Lecture(3 Units),Open,12 / 23(16 / 38),Afsaneh Doryab
